date,COVID,RSV,HFMD,H1,H3,B,HFMD_ori
2025/6/21,3339,3110,69,2148,873,1175,9
2025/6/28,1808,5297,100,2857,1767,1466,13
2025/7/5,1987,5834,108,3251,1644,1571,14
2025/7/12,1770,3841,138,2416,872,971,18
2025/7/19,524,5941,146,4009,1103,1303,19
2025/7/26,136,4286,131,2212,1077,724,17
2025/8/2,232,4621,185,1945,2438,911,24
2025/8/9,468,7559,138,4523,3983,1249,18
2025/8/16,276,5842,108,4192,5041,575,14
2025/8/23,305,6998,85,5065,7773,972,11
2025/8/30,183,11937,100,8015,12110,1277,13
2025/9/6,55,12012,115,6544,15366,787,15
2025/9/13,31,12327,108,5908,21093,1225,14
2025/9/20,53,9464,153,4939,22041,706,20
2025/9/27,27,9697,61,5149,19280,902,9
2025/10/4,0,10974,257,5280,30902,1469,21
2025/10/11,7,10028,192,3897,33981,951,25
2025/10/18,16,9640,192,4212,30094,695,26
2025/10/25,5,7868,200,2805,20917,312,15
2025/11/1,4,5624,115,2522,18980,579,18
